Amount,Payer,Payer country,Beneficiary,Beneficiary country,Date,Purpose,,,
6008747,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,13/11/2014,"1411135106036050 CONTRAKT N38 10.10.2014 /FEE/USD53,5",,,
6004397,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,13/11/2014,"1411135100077034 CONTRAKT N38 10.10.2014 /FEE/USD53,5",,,
5918947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,06/05/2014,"1405065105140054 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
5901447,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,18/11/2014,"1411185101198883 CONTRAKT N38 10.10.2014 /FEE/USD53,5",,,
5878247,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,29/12/2014,"1412295108133598 CONTRAKT N47 03.11.2014 /FEE/USD53,5",,,
5820247,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,17/11/2014,"1411175106429777 CONTRAKT N38 10.10.2014 /FEE/USD53,5",,,
5801397,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,19/11/2014,"1411195100304397 CONTRAKT N38 10.10.2014 /FEE/USD53,5",,,
5799947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,14/01/2014,"1401145103401964 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
5798497,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,28/11/2014,"1411285106602403 CONTRAKT N41 23.10.2014 /FEE/USD53,5",,,
5728897,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,21/11/2014,"1411215102948207 CONTRAKT N38 10.10.2014 /FEE/USD53,5",,,
5694097,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,26/11/2014,"1411265107232133 CONTRAKT N41 23.10.2014 /FEE/USD53,5",,,
5602747,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,14/11/2014,"1411145107313784 CONTRAKT N38 10.10.2014 /FEE/USD53,5",,,
5524447,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,01/12/2014,"1412015100268276 CONTRAKT N41 23.10.2014 /FEE/USD53,5",,,
5499947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,29/12/2014,"1412265102334077 CONTRAKT N47 03.11.2014 /FEE/USD53,5",,,
5471657,ARASH MEDICAL PRODUCTION LTD,AZ,HILUX SERVICES LP,GB,18/07/2014,Payment for equipment contract 001/ 14,,,
5437447,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,15/12/2014,"1412155100073279 CONTRAKT N47 03.11.2014 /FEE/USD53,5",,,
5364947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,09/12/2014,"1412095103756996 CONTRAKT N41 23.10.2014 /FEE/USD53,5",,,
5350447,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,19/12/2014,"1412195107192435 CONTRAKT N47 03.11.2014 /FEE/USD53,5",,,
5335947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,08/12/2014,"1412085106955478 CONTRAKT N41 23.10.2014 /FEE/USD53,5",,,
5248947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,03/12/2014,"1412035104932806 CONTRAKT N41 23.10.2014 /FEE/USD53,5",,,
5119670,RIVERLANE LLP,GB,LCM ALLIANCE LLP,GB,10/06/2013,1306105078177884 PAYMENT TO THE CONTRACT N AZ-008-2013 D D.10.04.2013 FOR EQUIPMENT.,,,
5103947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,02/12/2014,"1412025105829222 CONTRAKT N41 23.10.2014 /FEE/USD53,5",,,
5100000,HILUX SERVICES LP,GB,BONDWEST LLP,GB,27/05/2014,1405275074786079 PAYMENT TO THE CONTRACT N 28 DD.12.09.2 013,,,
5000000,POLUX MANAGEMENT LP,GB,LUXBORG L.P.,GB,05/09/2013,1309055072635071 PAYMENT TO THE CONTRACT N 10 DD.10.06.2 013,,,
5000000,POLUX MANAGEMENT LP,GB,KG COMMERCE LLP,GB,31/10/2013,1310315075791179 PAYMENT TO THE CONTRACT N 4 DD.11.06.20 13,,,
5000000,HILUX SERVICES LP,GB,RICHFIELD TRADING L.P.,GB,25/08/2014,1408255072664441 PAYMENT TO THE CONTRACT N.12/1 DD.29.06 .2014,,,
4999947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,25/08/2014,"1408255104346599 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
4984947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,27/03/2014,"1403275104020453 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
4902942,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,25/06/2013,"1306255104996604 CONTRACT N01 29.05.2013DANSKE BANK AS E STONIABRANCH TALLINN ESTONIA /FEE/USD58,5",,,
4864947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,21/01/2014,"1401215102370353 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
4864947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,19/03/2014,"1403195103161009 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
4825947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,07/01/2014,"1401075107328358 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
4703947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,17/01/2014,"1401175106923228 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
4660021,METASTAR INVEST LLP,GB,ESKO GAYRIMENKUL VE MADENCILIK,TR,07/05/2013,"1305075026204478 INVOICE ME-2013-01 DD 03.05.2013 LI ST B1-B4, B1-B5, B1-B6",,,
4648947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,10/01/2014,"1401105106680880 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
4639947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,10/12/2014,"1412105107977934 CONTRAKT N47 03.11.2014 /FEE/USD53,5",,,
4610947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,12/11/2014,"1411125106554034 CONTRAKT N35 01.10.2014 /FEE/USD53,5",,,
4606597,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,12/11/2014,"1411125103262706 CONTRAKT N35 01.10.2014 /FEE/USD53,5",,,
4599347,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,12/11/2014,"1411125102165426 CONTRAKT N35 01.10.2014 /FEE/USD53,5",,,
4578100,HILUX SERVICES LP,GB,FABERLEX LP,GB,10/10/2014,1410105078018178 GROUP PAYMENT,,,
4573247,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,15/10/2014,"1410155107772428 CONTRAKT N22 22.09.2014 /FEE/USD53,5",,,
4558947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,08/01/2014,"1401085104938844 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
4533942,BAKTELEKOM MMC,AZ,POLUX MANAGEMENT LP,GB,09/07/2013,"1307095100503123 CONTRACT AZ/01/13 29.05.2013DANSKE BANK AS ESTONIABRANCH TALLINN ESTONIA /FEE/USD58,5",,,
4524947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,14/04/2014,"1404145101218328 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
4518942,BAKTELEKOM MMC,AZ,POLUX MANAGEMENT LP,GB,19/11/2013,"1311195104315146 CONTRACT AZ/01/13 29.05.2013DANSKE BANK AS ESTONIABRANCH TALLINN ESTONIA /FEE/USD58,5",,,
4514500,FABERLEX LP,GB,HILUX SERVICES LP,GB,22/10/2014,1410225073143767 GROUP PAYMENT,,,
4500000,HILUX SERVICES LP,GB,LUXBORG L.P.,GB,27/12/2013,1312275073846979 PAYMENT TO THE CONTRACT N 991 DD.11.06. 2013,,,
4499942,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,21/06/2013,"1306215104681133 CONTRACT N01 29.05.2013DANSKE BANK AS E STONIABRANCH TALLINN ESTONIA /FEE/USD58,5",,,
4499942,BAKTELEKOM MMC,AZ,POLUX MANAGEMENT LP,GB,01/07/2013,"1307015102024188 CONTRACT AZ/01/13 29.05.2013DANSKE BANK AS ESTONIABRANCH TALLINN ESTONIA /FEE/USD58,5",,,
4490000,MOLONEY TRADE LLP,GB,METASTAR INVEST LLP,GB,07/05/2013,1305075026026846 INVOICE 22 DD 05.05.2013,,,
4483642,BAKTELEKOM MMC,AZ,POLUX MANAGEMENT LP,GB,13/08/2013,"1308135105202453 CONTRACT AZ/01/13 29.05.2013DANSKE BANK AS ESTONIABRANCH TALLINN ESTONIA /FEE/USD58,5",,,
4476097,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,27/10/2014,"1410275101420683 CONTRAKT N30 28.09.2014 /FEE/USD53,5",,,
4446600,POLUX MANAGEMENT LP,GB,RIVARLANE LLP,GB,16/07/2013,1307165070487007 PAYMENT TO THE CONTRACT N 001 DD 06.06. 2013 FOR CONSTRUCTION MATERIALS.,,,
4418942,BAKTELEKOM MMC,AZ,POLUX MANAGEMENT LP,GB,16/09/2013,"1309165104707937 CONTRACT AZ/01/13 29.05.2013DANSKE BANK AS ESTONIABRANCH TALLINN ESTONIA /FEE/USD58,5",,,
4413800,FABERLEX LP,GB,HILUX SERVICES LP,GB,21/10/2014,1410215071316897 GROUP PAYMENT,,,
4399947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,13/01/2014,"1401135100255650 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
4389097,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,06/11/2014,"1411065107239408 CONTRAKT N35 01.10.2014 /FEE/USD53,5",,,
4357197,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,17/10/2014,"1410175105000529 CONTRAKT N22 22.09.2014 /FEE/USD53,5",,,
4332947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,17/03/2014,"1403175102752216 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
4303547,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,20/11/2014,"1411205106277935 CONTRAKT N38 10.10.2014 /FEE/USD53,5",,,
4290497,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,20/10/2014,"1410205102278517 CONTRAKT N22 22.09.2014 /FEE/USD53,5",,,
4232497,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,05/11/2014,"1411055106459458 CONTRAKT N35 01.10.2014 /FEE/USD53,5",,,
4158800,FABERLEX LP,GB,HILUX SERVICES LP,GB,10/01/2014,1401105077257036 PAYMENT TO THE CONTRACT N 439 DD.01.12. 2013,,,
4135947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,25/02/2014,"1402255107155305 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
4121947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,05/08/2014,"1408055102074362 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
4039311,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,25/11/2014,"1411255105992223 CONTRAKT N38 10.10.2014 /FEE/USD53,5",,,
4029942,BAKTELEKOM MMC,AZ,POLUX MANAGEMENT LP,GB,06/08/2013,"1308065107212259 CONTRACT AZ/01/13 29.05.2013DANSKE BANK AS ESTONIABRANCH TALLINN ESTONIA /FEE/USD58,5",,,
4025147,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,28/10/2014,"1410285108221341 CONTRAKT N30 28.09.2014 /FEE/USD53,5",,,
4013547,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,28/10/2014,"1410285107124317 CONTRAKT N30 28.09.2014 /FEE/USD53,5",,,
4011942,BAKTELEKOM MMC,AZ,POLUX MANAGEMENT LP,GB,04/11/2013,"1311045102899891 CONTRACT AZ/01/13 29.05.2013DANSKE BANK AS ESTONIABRANCH TALLINN ESTONIA /FEE/USD58,5",,,
4000000,SELECTUS SYSTEMS INC.,VG,LCM ALLIANCE LLP,GB,31/12/2012,1212315020337715 INVOICE144 DD 11.12.12,,,
4000000,RIVERLANE LLP,GB,LCM ALLIANCE LLP,GB,10/05/2013,1305105071844272 PAYMENT TO THE CONTRACT N AZ-008-2013 D D.10.04.2013 FOR EQUIPMENT.,,,
4000000,HILUX SERVICES LP,GB,BANK TECHNIQUE OJSC,AZ,30/12/2013,1312305022965751 SUBORDINATED DEPOSIT FOR BEAUFFORT INVE STMENTS,,,
4000000,WILLROCK UNITED LLP,GB,HILUX SERVICES LP,GB,03/02/2014,1402035076014543 INV 853 DD 03.02.2014 EQUIPMENT,,,
4000000,HILUX SERVICES LP,GB,BONDWEST LLP,GB,29/05/2014,1405295076625263 PAYMENT TO THE CONTRACT N 28 DD.12.09.2 013,,,
3999947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,30/12/2013,"1312305107568339 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3999942,BAKTELEKOM MMC,AZ,POLUX MANAGEMENT LP,GB,20/06/2013,"1306205108033895 CONTRACT AZ/01/13 29.05.2013DANSKE BANK AS ESTONIABRANCH TALLINN ESTONIA /FEE/USD58,5",,,
3999942,BAKTELEKOM MMC,AZ,POLUX MANAGEMENT LP,GB,03/07/2013,"1307035105898680 CONTRACT AZ/01/13 29.05.2013DANSKE BANK AS ESTONIABRANCH TALLINN ESTONIA /FEE/USD58,5",,,
3999047,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,16/10/2014,"1410165102163237 CONTRAKT N22 22.09.2014 /FEE/USD53,5",,,
3999047,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,06/11/2014,"1411065101623424 CONTRAKT N35 01.10.2014 /FEE/USD53,5",,,
3995947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,02/06/2014,"1406025105095126 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3989947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,23/01/2014,"1401235104704031 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3984947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,06/08/2014,"1408065105926994 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3980197,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,24/11/2014,"1411245106587849 CONTRAKT N38 10.10.2014 /FEE/USD53,5",,,
3979947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,27/06/2014,"1406275104479033 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3979947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,15/07/2014,"1407155101719986 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3979947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,22/07/2014,"1407225108093589 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3979947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,23/07/2014,"1407235101517379 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3979947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,25/07/2014,"1407255100410121 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3979947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,11/08/2014,"1408115102816826 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3979947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,11/08/2014,"1408115100622522 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3979947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,18/08/2014,"1408185101376829 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3979947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,18/08/2014,"1408185103273321 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3979947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,19/08/2014,"1408195104018019 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3979947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,21/08/2014,"1408215106250709 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3979947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,25/08/2014,"1408255100265181 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3979947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,26/08/2014,"1408265102013165 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3979947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,27/08/2014,"1408275103832903 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3979947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,28/08/2014,"1408285105419877 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3979947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,29/08/2014,"1408295100922199 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3979947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,02/09/2014,"1409025104126524 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3979947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,02/09/2014,"1409025107515260 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3979947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,02/09/2014,"1409025104223676 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3979947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,03/09/2014,"1409035106067812 CONTRAKT 01 29.05.2013 /FEE/USD53,5",,,
3979947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,03/09/2014,"1409035105070468 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3979947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,04/09/2014,"1409045105538078 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3979947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,04/09/2014,"1409045104441054 CONTRAKT N01 29.05.2013 /FEE/USD53,5",,,
3975847,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,29/10/2014,"1410295102190651 CONTRAKT N30 28.09.2014 /FEE/USD53,5",,,
3969947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,27/06/2014,"1406275105257997 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3962797,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,24/10/2014,"1410245102368989 CONTRAKT N30 28.09.2014 /FEE/USD53,5",,,
3959947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,11/06/2014,"1406115104803068 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3959947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,30/06/2014,"1406305104155563 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3959947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,02/07/2014,"1407025106304256 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3959947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,07/07/2014,"1407075104951250 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3959947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,08/07/2014,"1407085103285780 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3959947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,09/07/2014,"1407095107983462 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3959947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,10/07/2014,"1407105106730052 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3959947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,21/07/2014,"1407215104711931 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3959947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,24/07/2014,"1407245106214291 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3914947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,16/12/2014,"1412165106498701 CONTRAKT N47 03.11.2014 /FEE/USD53,5",,,
3912047,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,24/11/2014,"1411245105490569 CONTRAKT N38 10.10.2014 /FEE/USD53,5",,,
3906247,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,23/10/2014,"1410235105227533 CONTRAKT N30 28.09.2014 /FEE/USD53,5",,,
3901897,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,30/10/2014,"1410305106181091 CONTRAKT N30 28.09.2014 /FEE/USD53,5",,,
3900000,JETFIELD NETWORKS LIMITED,NZ,METASTAR INVEST LLP,GB,01/08/2013,1308015077464356 DOGOVOR ZAYMA,,,
3899947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,22/05/2014,"1405225101197383 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3899947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,23/05/2014,"1405235100586815 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3899947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,27/05/2014,"1405275103988071 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3899947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,29/05/2014,"1405295102028295 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3898997,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,30/10/2014,"1410305102695203 CONTRAKT N30 28.09.2014 /FEE/USD53,5",,,
3883047,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,14/10/2014,"1410145106656426 CONTRAKT N22 22.09.2014 /FEE/USD53,5",,,
3872515,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,25/11/2014,"1411255100516559 CONTRAKT N38 10.10.2014 /FEE/USD53,5",,,
3859942,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,18/11/2013,"1311185100239624 CONTRACT N01 29.05.2013DANSKE BANK AS E STONIABRANCH TALLINN ESTONIA /FEE/USD58,5",,,
3849947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,09/09/2014,"1409095103487744 CONTRAKT N01 29.05.2013 /FEE/USD53,5",,,
3849947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,09/09/2014,"1409095100717648 CONTRAKT N01 29.05.2013 /FEE/USD53,5",,,
3840942,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,25/11/2013,"1311255105603505 CONTRACT N01 29.05.2013DANSKE BANK AS E STONIABRANCH TALLINN ESTONIA /FEE/USD58,5",,,
3839547,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,14/10/2014,"1410145101960826 CONTRAKT N22 22.09.2014 /FEE/USD53,5",,,
3830947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,13/08/2014,"1408135107330158 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3827947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,04/06/2014,"1406045107573748 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3804947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,22/04/2014,"1404225106364703 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3801847,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,29/10/2014,"1410295103287931 CONTRAKT N30 28.09.2014 /FEE/USD53,5",,,
3800947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,27/02/2014,"1402275107572079 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3800947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,18/06/2014,"1406185104582375 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3800000,FABERLEX LP,GB,HILUX SERVICES LP,GB,07/01/2014,1401075072755778 PAYMENT TO THE CONTRACT N 439 DD.01.12. 2013,,,
3800000,HILUX SERVICES LP,GB,BONDWEST LLP,GB,20/05/2014,1405205074755587 PAYMENT TO THE CONTRACT N 28 DD.12.09.2 013,,,
3800000,HILUX SERVICES LP,GB,BONDWEST LLP,GB,22/05/2014,1405225070302327 PAYMENT TO THE CONTRACT N 28 DD.12.09.2 013,,,
3792942,BAKTELEKOM MMC,AZ,POLUX MANAGEMENT LP,GB,05/07/2013,"1307055107583740 CONTRACT AZ/01/13 29.05.2013DANSKE BANK AS ESTONIABRANCH TALLINN ESTONIA /FEE/USD58,5",,,
3789947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,10/06/2014,"1406105108118378 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3781547,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,04/11/2014,"1411045104975512 CONTRAKT N35 01.10.2014 /FEE/USD53,5",,,
3779947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,17/07/2014,"1407175106160129 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3779942,BAKTELEKOM MMC,AZ,POLUX MANAGEMENT LP,GB,06/11/2013,"1311065106605463 CONTRACT AZ/01/13 29.05.2013DANSKE BANK AS ESTONIABRANCH TALLINN ESTONIA /FEE/USD58,5",,,
3774947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,21/02/2014,"1402215108060127 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
3772947,BAKTELEKOM MMC,AZ,HILUX SERVICES LP,GB,05/05/2014,"1405055104764092 CONTRACT N01 29.05.2013 /FEE/USD53,5",,,
